PERMNO|DATE|PRC
26463|19970102|29.25
26463|19970103|29.25
26463|19970106|29.25
26463|19970107|29.75
26463|19970108|30
26463|19970109|29.125
26463|19970110|29.125
26463|19970113|29.125
26463|19970114|29.125
26463|19970115|28.5
26463|19970116|27.5
26463|19970117|27.5
26463|19970120|27.5
26463|19970121|28.25
26463|19970122|27.5
26463|19970123|27.5
26463|19970124|27.5
26463|19970127|27.5
26463|19970128|27.5
26463|19970129|27.5
26463|19970130|28
26463|19970131|27.5
26463|19970203|28
26463|19970204|27.5
26463|19970205|28
26463|19970206|28
26463|19970207|27.5
26463|19970210|28
26463|19970211|28
26463|19970212|28
26463|19970213|28.375
26463|19970214|28.0625
26463|19970218|27.75
26463|19970219|28.5
26463|19970220|27.75
26463|19970221|27.75
26463|19970224|28.25
26463|19970225|28.5
26463|19970226|28.5
26463|19970227|28.25
26463|19970228|29
26463|19970303|28.625
26463|19970304|28.875
26463|19970305|28.5
26463|19970306|29.125
26463|19970307|28.5
26463|19970310|28.5
26463|19970311|29.25
26463|19970312|28.75
26463|19970313|29.25
26463|19970314|28.75
26463|19970317|29.25
26463|19970318|28.75
26463|19970319|29
26463|19970320|29
26463|19970321|29
26463|19970324|29.25
26463|19970325|29
26463|19970326|29
26463|19970327|29
26463|19970331|29.25
26463|19970401|28.75
26463|19970402|29
26463|19970403|28.625
26463|19970404|28.625
26463|19970407|29.25
26463|19970408|28.625
26463|19970409|28.625
26463|19970410|28.9375
26463|19970411|29.25
26463|19970414|28.625
26463|19970415|28.75
26463|19970416|28.625
26463|19970417|28.625
26463|19970418|29.25
26463|19970421|28.5
26463|19970422|28.5625
26463|19970423|28.5
26463|19970424|28.5
26463|19970425|28.5
26463|19970428|28.5
26463|19970429|28
26463|19970430|28
26463|19970501|28
26463|19970502|28
26463|19970505|28
26463|19970506|28.25
26463|19970507|28.125
26463|19970508|28
26463|19970509|28.5
26463|19970512|27.5
26463|19970513|27.5
26463|19970514|27.5
26463|19970515|28
26463|19970516|27.5
26463|19970519|27.5
26463|19970520|27.5
26463|19970521|27.5
26463|19970522|27.5
26463|19970523|27.5
26463|19970527|28.125
26463|19970528|28.25
26463|19970529|27.625
26463|19970530|28.25
26463|19970602|28.5
26463|19970603|28
26463|19970604|28.5
26463|19970605|28.25
26463|19970606|28.25
26463|19970609|27.875
26463|19970610|27.875
26463|19970611|28
26463|19970612|28.875
26463|19970613|28
26463|19970616|28.5
26463|19970617|28
26463|19970618|28
26463|19970619|28.875
26463|19970620|28
26463|19970623|28.5
26463|19970624|28
26463|19970625|28
26463|19970626|28.25
26463|19970627|28.5625
26463|19970630|28.25
26463|19970701|28.25
26463|19970702|28.25
26463|19970703|28.25
26463|19970707|28.25
26463|19970708|28.25
26463|19970709|28.75
26463|19970710|28.75
26463|19970711|28.5
26463|19970714|28.5
26463|19970715|28.5
26463|19970716|28.5
26463|19970717|28.125
26463|19970718|28.75
26463|19970721|28
26463|19970722|28.75
26463|19970723|28.5
26463|19970724|28
26463|19970725|28.75
26463|19970728|28.75
26463|19970729|28.25
26463|19970730|28.75
26463|19970731|28.25
26463|19970801|28.25
26463|19970804|28.125
26463|19970805|28.125
26463|19970806|28.125
26463|19970807|28.125
26463|19970808|28.125
26463|19970811|28.125
26463|19970812|28.5
26463|19970813|28.125
26463|19970814|28.125
26463|19970815|28.6875
26463|19970818|28
26463|19970819|28.125
26463|19970820|28
26463|19970821|28.5
26463|19970822|28.625
26463|19970825|28.125
26463|19970826|28.625
26463|19970827|29
26463|19970828|29
26463|19970829|28.125
26463|19970902|28.125
26463|19970903|28.125
26463|19970904|28.125
26463|19970905|28.625
26463|19970908|28.75
26463|19970909|28.75
26463|19970910|28.75
26463|19970911|28.125
26463|19970912|27.875
26463|19970915|28.375
26463|19970916|28
26463|19970917|28.25
26463|19970918|28.5
26463|19970919|28
26463|19970922|28.375
26463|19970923|28.125
26463|19970924|28.625
26463|19970925|28.5
26463|19970926|28.5
26463|19970929|28.375
26463|19970930|28.375
26463|19971001|28.375
26463|19971002|28.375
26463|19971003|28.5
26463|19971006|28.625
26463|19971007|28.875
26463|19971008|28.5
26463|19971009|29
26463|19971010|29
26463|19971013|29.25
26463|19971014|29.25
26463|19971015|29.5
26463|19971016|29.25
26463|19971017|29
26463|19971020|30
26463|19971021|30.375
26463|19971022|29.625
26463|19971023|30
26463|19971024|29.5
26463|19971027|29.5
26463|19971028|29.375
26463|19971029|29.375
26463|19971030|29.375
26463|19971031|29.375
26463|19971103|29.5
26463|19971104|29.375
26463|19971105|29.6875
26463|19971106|30
26463|19971107|30.25
26463|19971110|29.625
26463|19971111|29.625
26463|19971112|30.25
26463|19971113|30.25
26463|19971114|30.25
26463|19971117|30.25
26463|19971118|30.5
26463|19971119|30.5
26463|19971120|31
26463|19971121|30.5
26463|19971124|30.5
26463|19971125|30.25
26463|19971126|30.625
26463|19971128|30.25
26463|19971201|30.375
26463|19971202|30.875
26463|19971203|31.25
26463|19971204|30.25
26463|19971205|30.75
26463|19971208|31.25
26463|19971209|30.5
26463|19971210|31.25
26463|19971211|31.25
26463|19971212|31
26463|19971215|31.25
26463|19971216|30.75
26463|19971217|30.75
26463|19971218|31.25
26463|19971219|31.25
26463|19971222|31.75
26463|19971223|30.75
26463|19971224|32.125
26463|19971226|32.125
26463|19971229|31.5
26463|19971230|32.25
26463|19971231|32.5
26463|19980102|32.5
26463|19980105|32.5
26463|19980106|33.625
26463|19980107|34.125
26463|19980108|33
26463|19980109|32.75
26463|19980112|32.75
26463|19980113|32.75
26463|19980114|32.75
26463|19980115|32.75
26463|19980116|32.75
26463|19980120|32.375
26463|19980121|33
26463|19980122|32.125
26463|19980123|31.875
26463|19980126|32
26463|19980127|31.25
26463|19980128|31.5
26463|19980129|31
26463|19980130|30.75
26463|19980202|31.125
26463|19980203|30.875
26463|19980204|31
26463|19980205|33
26463|19980206|31.75
26463|19980209|32.375
26463|19980210|33.5
26463|19980211|32
26463|19980212|32.875
26463|19980213|32
26463|19980217|32
26463|19980218|32
26463|19980219|32.25
26463|19980220|31.875
26463|19980223|31.875
26463|19980224|32.5
26463|19980225|32.25
26463|19980226|32.25
26463|19980227|31
26463|19980302|30.875
26463|19980303|31.125
26463|19980304|31
26463|19980305|31.25
26463|19980306|31.5
26463|19980309|31.25
26463|19980310|31.5
26463|19980311|31.625
26463|19980312|31.5
26463|19980313|32
26463|19980316|31.5
26463|19980317|32.25
26463|19980318|34
26463|19980319|32.25
26463|19980320|32.125
26463|19980323|34
26463|19980324|34
26463|19980325|32.25
26463|19980326|32.5
26463|19980327|34
26463|19980330|32.5
26463|19980331|32.625
26463|19980401|32.625
26463|19980402|32.5
26463|19980403|32.5
26463|19980406|33
26463|19980407|32.5
26463|19980408|33.125
26463|19980409|32.5
26463|19980413|32.5
26463|19980414|32.75
26463|19980415|32.75
26463|19980416|32.625
26463|19980417|32.875
26463|19980420|33
26463|19980421|32.5
26463|19980422|32.875
26463|19980423|34.875
26463|19980424|33.375
26463|19980427|34
26463|19980428|34
26463|19980429|34
26463|19980430|34
26463|19980501|34
26463|19980504|35.25
26463|19980505|34
26463|19980506|32.75
26463|19980507|33.375
26463|19980508|33.125
26463|19980511|34
26463|19980512|34.75
26463|19980513|34.25
26463|19980514|33.5
26463|19980515|33.5
26463|19980518|33.5
26463|19980519|33.5
26463|19980520|33.5
26463|19980521|33.5
26463|19980522|33.75
26463|19980526|35.25
26463|19980527|32.75
26463|19980528|33.1875
26463|19980529|32.75
26463|19980601|33.625
26463|19980602|33.0625
26463|19980603|32.3125
26463|19980604|33.3125
26463|19980605|33.5
26463|19980608|33.5
26463|19980609|32.75
26463|19980610|34
26463|19980611|34.5
26463|19980612|34.125
26463|19980615|35
26463|19980616|35
26463|19980617|34.25
26463|19980618|35
26463|19980619|34.375
26463|19980622|34.25
26463|19980623|33.75
26463|19980624|34.625
26463|19980625|33.75
26463|19980626|34.625
26463|19980629|34.5
26463|19980630|34.5
26463|19980701|34.5
26463|19980702|34.5
26463|19980706|34.5
26463|19980707|34
26463|19980708|33.6875
26463|19980709|34.25
26463|19980710|34
26463|19980713|33.6875
26463|19980714|33.9375
26463|19980715|32.25
26463|19980716|32.75
26463|19980717|32.8125
26463|19980720|32.75
26463|19980721|33.125
26463|19980722|33.25
26463|19980723|32.5312
26463|19980724|33.25
26463|19980727|33.75
26463|19980728|32.5
26463|19980729|33.5
26463|19980730|33.75
26463|19980731|33.5
26463|19980803|33.25
26463|19980804|33
26463|19980805|33.4375
26463|19980806|34.5
26463|19980807|34
26463|19980810|34.5
26463|19980811|33
26463|19980812|33.5
26463|19980813|32.75
26463|19980814|33.25
26463|19980817|34.5
26463|19980818|35.375
26463|19980819|35.375
26463|19980820|36.0625
26463|19980821|34.875
26463|19980824|36
26463|19980825|36.25
26463|19980826|36.5
26463|19980827|36.625
26463|19980828|36.625
26463|19980831|35.625
26463|19980901|35.9375
26463|19980902|35.5
26463|19980903|34.75
26463|19980904|35
26463|19980908|35.875
26463|19980909|34.375
26463|19980910|35.75
26463|19980911|34.5
26463|19980914|34.625
26463|19980915|36
26463|19980916|26.5
26463|19980917|27
26463|19980918|25.75
26463|19980921|25
26463|19980922|25.375
26463|19980923|25.5
26463|19980924|25.0625
26463|19980925|25
26463|19980928|25.75
26463|19980929|25.375
26463|19980930|25.125
26463|19981001|26.5
26463|19981002|26.625
26463|19981005|26.375
26463|19981006|27.25
26463|19981007|27.25
26463|19981008|28.375
26463|19981009|28.375
26463|19981012|28.375
26463|19981013|28.25
26463|19981014|27
26463|19981015|27
26463|19981016|27
26463|19981019|26.8125
26463|19981020|26.9375
26463|19981021|26.75
26463|19981022|26.5
26463|19981023|26
26463|19981026|26
26463|19981027|25.5
26463|19981028|26.0625
26463|19981029|26.75
26463|19981030|26.0625
26463|19981102|27
26463|19981103|27
26463|19981104|27.625
26463|19981105|27.125
26463|19981106|28.25
26463|19981109|27
26463|19981110|28
26463|19981111|28.5
26463|19981112|28.5
26463|19981113|27.25
26463|19981116|27.25
26463|19981117|28.125
26463|19981118|27.25
26463|19981119|27.75
26463|19981120|27.25
26463|19981123|27.5
26463|19981124|27.25
26463|19981125|27.75
26463|19981127|27.75
26463|19981130|27.875
26463|19981201|27.25
26463|19981202|27.5
26463|19981203|27.25
26463|19981204|27.5
26463|19981207|27.375
26463|19981208|27.75
26463|19981209|27
26463|19981210|27
26463|19981211|27.125
26463|19981214|26.5
26463|19981215|27
26463|19981216|27.25
26463|19981217|27.4375
26463|19981218|27.75
26463|19981221|28.4375
26463|19981222|28.3125
26463|19981223|28.125
26463|19981224|28.3125
26463|19981228|27.75
26463|19981229|26.625
26463|19981230|27
26463|19981231|27
26463|19990104|27.25
26463|19990105|27.25
26463|19990106|27.75
26463|19990107|27
26463|19990108|27
26463|19990111|27.5
26463|19990112|27.25
26463|19990113|25.875
26463|19990114|27
26463|19990115|27
26463|19990119|27.125
26463|19990120|27
26463|19990121|26.75
26463|19990122|26
26463|19990125|26
26463|19990126|26
26463|19990127|26
26463|19990128|26.75
26463|19990129|26
26463|19990201|25.125
26463|19990202|25.5
26463|19990203|25.5
26463|19990204|25.25
26463|19990205|25.375
26463|19990208|25.5
26463|19990209|25.625
26463|19990210|25.625
26463|19990211|25.5
26463|19990212|26.5
26463|19990216|25.5
26463|19990217|26
26463|19990218|25.75
26463|19990219|25.5
26463|19990222|26.25
26463|19990223|25.75
26463|19990224|25.625
26463|19990225|25.125
26463|19990226|25.1875
26463|19990301|25.75
26463|19990302|25.125
26463|19990303|25.75
26463|19990304|25.25
26463|19990305|25.25
26463|19990308|25.875
26463|19990309|25.5
26463|19990310|25.5
26463|19990311|25.25
26463|19990312|25.4375
26463|19990315|25.25
26463|19990316|26
26463|19990317|25.5625
26463|19990318|25.5625
26463|19990319|25.5
26463|19990322|25.25
26463|19990323|25.25
26463|19990324|25.5625
26463|19990325|25.5
26463|19990326|25.125
26463|19990329|25
26463|19990330|25
26463|19990331|24
26463|19990401|23.75
26463|19990405|23.125
26463|19990406|23.1875
26463|19990407|23.0625
26463|19990408|23
26463|19990409|23
26463|19990412|23
26463|19990413|21.75
26463|19990414|21.75
26463|19990415|22.5
26463|19990416|22.6875
26463|19990419|22.5
26463|19990420|22.125
26463|19990421|22
26463|19990422|22.25
26463|19990423|22.5625
26463|19990426|22.5625
26463|19990427|22.5
26463|19990428|22.375
26463|19990429|22.375
26463|19990430|22.125
26463|19990503|22.125
26463|19990504|22.125
26463|19990505|21.75
26463|19990506|22.125
26463|19990507|22.375
26463|19990510|22.125
26463|19990511|22.5
26463|19990512|22.625
26463|19990513|24.125
26463|19990514|23.5
26463|19990517|23.375
26463|19990518|23.875
26463|19990519|23.9375
26463|19990520|23.8125
26463|19990521|23.75
26463|19990524|24
26463|19990525|23.6875
26463|19990526|23.875
26463|19990527|24
26463|19990528|24
26463|19990601|24.875
26463|19990602|26
26463|19990603|26.1875
26463|19990604|25.625
26463|19990607|26
26463|19990608|26
26463|19990609|25
