PERMNO|DATE|PRC
71475|19980102|24.875
71475|19980105|23.875
71475|19980106|23.5
71475|19980107|24.6875
71475|19980108|24.375
71475|19980109|24.0625
71475|19980112|24
71475|19980113|24.25
71475|19980114|24.125
71475|19980115|24.0625
71475|19980116|24.125
71475|19980120|25.125
71475|19980121|25
71475|19980122|24.8125
71475|19980123|24.875
71475|19980126|25.5625
71475|19980127|24.8125
71475|19980128|25.1875
71475|19980129|25.25
71475|19980130|25.3125
71475|19980202|25.375
71475|19980203|25.375
71475|19980204|25.5
71475|19980205|25.0625
71475|19980206|25.3125
71475|19980209|25.5
71475|19980210|25.5
71475|19980211|25.625
71475|19980212|25.375
71475|19980213|25.5
71475|19980217|25.4375
71475|19980218|25.4375
71475|19980219|25.0625
71475|19980220|24.75
71475|19980223|24.875
71475|19980224|24.9375
71475|19980225|24.9375
71475|19980226|25.375
71475|19980227|25.3125
71475|19980302|25.6875
71475|19980303|25.125
71475|19980304|24.4375
71475|19980305|24.375
71475|19980306|24.625
71475|19980309|25.0625
71475|19980310|24.9375
71475|19980311|25.125
71475|19980312|24.9375
71475|19980313|24.5625
71475|19980316|24.4375
71475|19980317|25.125
71475|19980318|24.625
71475|19980319|25
71475|19980320|25.1875
71475|19980323|25.3125
71475|19980324|25.6875
71475|19980325|25.6875
71475|19980326|25.9375
71475|19980327|25.5625
71475|19980330|25.75
71475|19980331|26
71475|19980401|25.8125
71475|19980402|26.5625
71475|19980403|26
71475|19980406|25.625
71475|19980407|25.1875
71475|19980408|24.9375
71475|19980409|24.9375
71475|19980413|24.125
71475|19980414|24.3125
71475|19980415|24.0625
71475|19980416|24.0625
71475|19980417|24
71475|19980420|23.9375
71475|19980421|23.9375
71475|19980422|23.875
71475|19980423|23.75
71475|19980424|23.6875
71475|19980427|23.5
71475|19980428|23.25
71475|19980429|23.25
71475|19980430|23.25
71475|19980501|22.9375
71475|19980504|23
71475|19980505|22.6875
71475|19980506|23
71475|19980507|22.5625
71475|19980508|21.9375
71475|19980511|21.9375
71475|19980512|22.375
71475|19980513|22.4375
71475|19980514|22.5
71475|19980515|22.3125
71475|19980518|22.25
71475|19980519|22.375
71475|19980520|22.25
71475|19980521|21.9375
71475|19980522|22
71475|19980526|21.875
71475|19980527|21.9375
71475|19980528|21.75
71475|19980529|21.8125
71475|19980601|21.8125
71475|19980602|21.9375
71475|19980603|22
71475|19980604|22.4375
71475|19980605|22.75
71475|19980608|23.0625
71475|19980609|23.0625
71475|19980610|23.0625
71475|19980611|22.8125
71475|19980612|23
71475|19980615|22.75
71475|19980616|22.625
71475|19980617|22.625
71475|19980618|22.625
71475|19980619|22.8125
71475|19980622|22.875
71475|19980623|24.125
71475|19980624|23.375
71475|19980625|24.5
71475|19980626|24.4375
71475|19980629|25.25
71475|19980630|27.125
71475|19980701|26
71475|19980702|26.75
71475|19980706|26.25
71475|19980707|26.25
71475|19980708|25.875
71475|19980709|25.8125
71475|19980710|25.625
71475|19980713|25.375
71475|19980714|25.9375
71475|19980715|26
71475|19980716|25.5
71475|19980717|25.3125
71475|19980720|25.5625
71475|19980721|24.75
71475|19980722|24.5625
71475|19980723|24.9375
71475|19980724|24.3125
71475|19980727|23.5
71475|19980728|24.6875
71475|19980729|25.3125
71475|19980730|25.5
71475|19980731|24.75
71475|19980803|24
71475|19980804|24.375
71475|19980805|24.4375
71475|19980806|24.25
71475|19980807|24.3125
71475|19980810|23.6875
71475|19980811|24.1875
71475|19980812|23.9375
71475|19980813|24.25
71475|19980814|24.5
71475|19980817|24
71475|19980818|24.25
71475|19980819|24.4375
71475|19980820|24.5
71475|19980821|24.875
71475|19980824|25.4375
71475|19980825|25.6875
71475|19980826|25.375
71475|19980827|24.6875
71475|19980828|23.9375
71475|19980831|23.5
71475|19980901|24.875
71475|19980902|24.125
71475|19980903|24.0625
71475|19980904|24.1875
71475|19980908|24.125
71475|19980909|24.3125
71475|19980910|24.4375
71475|19980911|24.3125
71475|19980914|24.75
71475|19980915|24.875
71475|19980916|24.375
71475|19980917|24.625
71475|19980918|24.5
71475|19980921|24.3125
71475|19980922|24.5625
71475|19980923|24.125
71475|19980924|24.375
71475|19980925|24.625
71475|19980928|24.875
71475|19980929|25.5
71475|19980930|26.5
71475|19981001|25.9375
71475|19981002|26.25
