PERMNO|DATE|PRC
52898|19970102|19.5
52898|19970103|20.25
52898|19970106|20.125
52898|19970107|20
52898|19970108|20.125
52898|19970109|20
52898|19970110|20.125
52898|19970113|20.125
52898|19970114|20.25
52898|19970115|20.125
52898|19970116|20
52898|19970117|19.75
52898|19970120|20
52898|19970121|20
52898|19970122|19.75
52898|19970123|19.875
52898|19970124|20.125
52898|19970127|20.125
52898|19970128|20.375
52898|19970129|20.375
52898|19970130|20.375
52898|19970131|20.5
52898|19970203|20.25
52898|19970204|20.25
52898|19970205|20.375
52898|19970206|20.25
52898|19970207|20.25
52898|19970210|19.75
52898|19970211|20
52898|19970212|20
52898|19970213|20.125
52898|19970214|20.125
52898|19970218|20.25
52898|19970219|20.125
52898|19970220|20.125
52898|19970221|20.375
52898|19970224|20.375
52898|19970225|20.5
52898|19970226|20.25
52898|19970227|20.125
52898|19970228|20.125
52898|19970303|20.125
52898|19970304|20.125
52898|19970305|20.125
52898|19970306|19.875
52898|19970307|19.875
52898|19970310|20
52898|19970311|20
52898|19970312|19.75
52898|19970313|19.625
52898|19970314|19.375
52898|19970317|19
52898|19970318|18.25
52898|19970319|18.5
52898|19970320|18.375
52898|19970321|18.125
52898|19970324|17.75
52898|19970325|17.25
52898|19970326|17.125
52898|19970327|16.625
52898|19970331|15.625
52898|19970401|16.625
52898|19970402|17.25
52898|19970403|17.5
52898|19970404|17.75
52898|19970407|18.875
52898|19970408|19.375
52898|19970409|19.5
52898|19970410|19.625
52898|19970411|19.5
52898|19970414|19.625
52898|19970415|19.875
52898|19970416|19.875
52898|19970417|19.625
52898|19970418|19.875
52898|19970421|19.875
52898|19970422|19.875
52898|19970423|20
52898|19970424|19.5
52898|19970425|19.625
52898|19970428|19.75
52898|19970429|19.875
52898|19970430|20
52898|19970501|19.875
52898|19970502|20
52898|19970505|20
52898|19970506|20.125
52898|19970507|20.125
52898|19970508|20
52898|19970509|19.625
52898|19970512|19.625
52898|19970513|19.5
52898|19970514|19.125
52898|19970515|18.875
52898|19970516|18.875
52898|19970519|18.875
52898|19970520|18.75
52898|19970521|18.625
52898|19970522|18.625
52898|19970523|18.75
52898|19970527|18.625
52898|19970528|18.75
52898|19970529|18.75
52898|19970530|18.75
52898|19970602|18.75
52898|19970603|19
52898|19970604|19
52898|19970605|19
52898|19970606|19
52898|19970609|19.25
52898|19970610|19.125
52898|19970611|18.625
52898|19970612|18.75
52898|19970613|19
52898|19970616|18.875
52898|19970617|18.75
52898|19970618|18.625
52898|19970619|19
52898|19970620|18.75
52898|19970623|18.75
52898|19970624|18.875
52898|19970625|18.75
52898|19970626|18.75
52898|19970627|18.9375
52898|19970630|19.125
52898|19970701|19
52898|19970702|19.1875
52898|19970703|19.25
52898|19970707|19
52898|19970708|19
52898|19970709|18.8125
52898|19970710|18.9375
52898|19970711|18.875
52898|19970714|18.9375
52898|19970715|19
52898|19970716|19.375
52898|19970717|18.9375
52898|19970718|19
52898|19970721|18.875
52898|19970722|18.75
52898|19970723|19
52898|19970724|19
52898|19970725|19.0625
52898|19970728|19
52898|19970729|19.125
52898|19970730|19
52898|19970731|19.1875
52898|19970801|19.1875
52898|19970804|19.75
52898|19970805|20.25
52898|19970806|21.375
52898|19970807|22.5
52898|19970808|22.1875
52898|19970811|22.125
52898|19970812|21.75
52898|19970813|21.9375
52898|19970814|22.3125
52898|19970815|22.3125
52898|19970818|22.375
52898|19970819|22.3125
52898|19970820|23.125
52898|19970821|23.375
52898|19970822|24
52898|19970825|23.6875
52898|19970826|23.625
52898|19970827|23.625
52898|19970828|23.5
52898|19970829|23.1875
52898|19970902|23.4375
52898|19970903|23.1875
52898|19970904|21.875
52898|19970905|21.5625
52898|19970908|21.5
52898|19970909|22.1875
52898|19970910|23.125
52898|19970911|22
52898|19970912|22.9375
52898|19970915|22.625
52898|19970916|22.875
52898|19970917|22.125
52898|19970918|21.75
52898|19970919|21.625
52898|19970922|21
52898|19970923|22
52898|19970924|22.5
52898|19970925|22.5625
52898|19970926|22
52898|19970929|21.625
52898|19970930|21.625
52898|19971001|22.0625
52898|19971002|22.1875
52898|19971003|22.0625
52898|19971006|22.3125
52898|19971007|22.875
52898|19971008|22.625
52898|19971009|22.375
52898|19971010|22.1875
52898|19971013|21.5625
52898|19971014|21.75
52898|19971015|21.875
52898|19971016|21.75
52898|19971017|21.625
52898|19971020|21.8125
52898|19971021|21.6875
52898|19971022|21.4375
52898|19971023|21.4375
52898|19971024|21.375
52898|19971027|20.625
52898|19971028|20.875
52898|19971029|22.75
52898|19971030|22.4375
52898|19971031|22.5625
52898|19971103|23.75
52898|19971104|23.5
52898|19971105|23.75
52898|19971106|23.6875
52898|19971107|23.875
52898|19971110|23.6875
52898|19971111|23.5
52898|19971112|22.6875
52898|19971113|22.25
52898|19971114|22.8125
52898|19971117|23.4375
52898|19971118|23.8125
52898|19971119|23.5625
52898|19971120|24.125
52898|19971121|24.5
52898|19971124|24.25
52898|19971125|24.625
52898|19971126|24.6875
52898|19971128|24.875
52898|19971201|25
52898|19971202|24
52898|19971203|24.625
52898|19971204|25.1875
52898|19971205|25.25
52898|19971208|25.875
52898|19971209|25.0625
52898|19971210|25.0625
52898|19971211|25
52898|19971212|24.3125
52898|19971215|24.4375
52898|19971216|24.875
52898|19971217|25.8125
52898|19971218|26.1875
52898|19971219|27.0625
52898|19971222|27.125
52898|19971223|27.6875
52898|19971224|27.75
52898|19971226|28
52898|19971229|27.875
52898|19971230|28.6875
52898|19971231|29.4375
52898|19980102|30.25
52898|19980105|29.1875
52898|19980106|28.5
52898|19980107|28.375
52898|19980108|28.4375
52898|19980109|28.25
52898|19980112|28.5
52898|19980113|21.1875
52898|19980114|21.625
52898|19980115|22.125
52898|19980116|22.6875
52898|19980120|23.375
52898|19980121|24.125
52898|19980122|24.5
52898|19980123|25.125
52898|19980126|25.25
52898|19980127|24.125
52898|19980128|24.3125
52898|19980129|23.625
52898|19980130|23.0625
52898|19980202|20.625
52898|19980203|20.1875
52898|19980204|21.75
52898|19980205|22.5
52898|19980206|22.4375
52898|19980209|21.625
52898|19980210|21.3125
52898|19980211|21.3125
52898|19980212|21.4375
52898|19980213|21.4375
52898|19980217|21.875
52898|19980218|22.125
52898|19980219|22.0625
52898|19980220|21.75
52898|19980223|21.375
52898|19980224|21.4375
52898|19980225|21.5625
52898|19980226|21.6875
52898|19980227|21.9375
52898|19980302|22.3125
52898|19980303|22
52898|19980304|21.75
52898|19980305|21.25
52898|19980306|21.3125
52898|19980309|21.125
52898|19980310|20.8125
52898|19980311|20.625
52898|19980312|20.5
52898|19980313|20.125
52898|19980316|20.3125
52898|19980317|19.8125
52898|19980318|20.5
52898|19980319|20.9375
52898|19980320|21.1875
52898|19980323|20.8125
52898|19980324|21.1875
52898|19980325|21.25
52898|19980326|20.625
52898|19980327|21.4375
52898|19980330|21.5625
52898|19980331|21.5625
52898|19980401|21.8125
52898|19980402|22.3125
52898|19980403|21.875
52898|19980406|21.125
